"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "TypeScript JSX", "TypeScript", "JSON", "comment", "blank", "total"
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/README.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 15, 37
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 1, 35
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/(auth)/SignIn.tsx", "TypeScript JSX", 0, 0, 0, 226, 0, 0, 23, 24, 273
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/(auth)/SignUp.tsx", "TypeScript JSX", 0, 0, 0, 248, 0, 0, 30, 28, 306
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/(auth)/_layout.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 6, 5, 28
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/(tabs)/FundWallet.tsx", "TypeScript JSX", 0, 0, 0, 169, 0, 0, 20, 25, 214
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/(tabs)/Home.tsx", "TypeScript JSX", 0, 0, 0, 132, 0, 0, 13, 13, 158
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/(tabs)/Popular.tsx", "TypeScript JSX", 0, 0, 0, 218, 0, 0, 8, 20, 246
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/(tabs)/Profile.tsx", "TypeScript JSX", 0, 0, 0, 238, 0, 0, 14, 22, 274
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/(tabs)/_layout.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 9, 7, 107
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/+html.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 10, 5, 39
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/+not-found.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 5, 41
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/_layout.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 7, 14, 76
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/index.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 4, 9, 54
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/app/modal.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 4, 15
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/babel.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
